year,ind2d,sale_D,cogs_D,xsga_D,kexp,theta_WI1_ct,theta_WI1_kt,theta_WI2_ct,theta_WI2_xt,theta_WI2_kt,ratio_DLEU_PF1_cap_noncap,ratio_DLEU_PF2_cap_noncap,ratio_DLEU_CS_cap_noncap,ratio_DLEU_PS_profits_go
1978,21,204180730.5736694,148057998.8755569,16034960.95722961,24544451.28276825,.71882105,.34276047,.57938331,.18455896,.33781391,.47683701,.44219822,.1495765,.076125301
1979,21,255713396.6604919,183291365.9126587,18191668.80660629,32647212.78572083,.70693278,.34054956,.58179104,.16182686,.32371691,.48172835,.43532693,.16203456,.084403671
1980,21,298281370.6982269,210600307.2677765,21786494.1269989,39143320.79384494,.69194281,.40789109,.58982247,.17459385,.38156274,.58948672,.49915567,.16844037,.089684613
1981,21,308047435.3041878,222185382.1437988,24218490.96809387,51221946.19504356,.68092668,.44386435,.58989245,.22932923,.40582192,.65185338,.49537498,.20787801,.033831205
1982,21,264425692.861908,189822305.9368858,23854318.64886475,50898555.08341789,.67274183,.38111371,.57548809,.22338182,.34853277,.56650811,.43628225,.23820366,-.00056532631
1983,21,231687590.663044,163837121.5568838,20664674.42082214,48736988.60850406,.68583786,.35582462,.57959849,.23152608,.32401329,.51881742,.39946181,.26415455,-.0066951965
1984,21,228050609.7142029,160255356.2525921,19662366.8989048,55119609.07495499,.70467395,.33785513,.56296325,.32606545,.30095077,.47944888,.33851635,.3063601,-.030636718
1985,21,218636033.9389801,154987051.6080837,20164344.06871414,51971632.61289787,.70925355,.27875584,.53886455,.41545489,.24070323,.39302707,.25222501,.29672405,-.038817912
1986,21,178866718.7587509,132387310.5317688,19693287.96221924,55997542.57309341,.75628328,.23303048,.57421386,.3932226,.19978039,.30812591,.20650493,.36820963,-.16331391
1987,21,194604175.9392014,139434067.4024811,20174487.96016312,53574874.97197306,.78378576,.21273556,.60553145,.42660984,.19078083,.27142054,.18483984,.33566418,-.095472023
1988,21,204080112.0582962,145962738.1176224,21570784.92359161,55316900.62356091,.77591407,.24874781,.59441024,.46011308,.21000086,.3205868,.19914292,.33018407,-.091975212
1989,21,237086034.8582001,167737996.4491158,23869074.68842888,64956110.01329041,.77064288,.25478256,.60822159,.32979292,.22997567,.33061042,.24517283,.33900684,-.082152233
1990,21,256446846.6389351,184958669.0819931,25116586.71573067,62386949.94526672,.76748419,.2730836,.62506813,.27038312,.25694063,.35581657,.28693983,.2969743,-.06245099
1991,21,217420344.9613953,158723642.0993195,24923868.87578201,53380875.27321243,.74419421,.28655353,.60945702,.28539702,.25454625,.38505208,.28445563,.29067028,-.090184942
1992,21,207086626.5917854,149449536.6478958,24145649.70370865,50238383.82774925,.74809641,.28556818,.62533128,.21694817,.26702708,.38172644,.31702909,.28939962,-.080869265
1993,21,206553684.7963104,148325571.3732033,23358229.23579121,49796462.68892288,.74568576,.24741672,.63300925,.17984451,.23685382,.33179757,.29138553,.29004753,-.072264887
1994,21,249784252.4932632,172615118.6121063,26686506.64848328,67635887.70039397,.72603464,.25442696,.62412661,.20270418,.23636982,.35043362,.28587449,.33936447,-.068672307
1995,21,275110760.8033791,189998821.5163746,26124244.51878738,81971796.87628937,.72657859,.29397792,.63262808,.12364974,.29024944,.40460581,.3837868,.37928295,-.083544903
